group2	family2	genus2	group	family	genus	taxa	ID	DIN	shortcode	level	gt	sens	exp	refu	SPEAR
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Acentrella sp.	Ephemeroptera	Baetidae	Acentrella	Acentrella sp.	8855	20934	acellasp	genus	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Baetidae Gen. sp.	Ephemeroptera	Baetidae	Baetidae	Baetidae Gen. sp.	4380	668	baetgen.	family	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Baetinae Gen. sp.	Ephemeroptera	Baetidae	Baetinae	Baetinae Gen. sp.	19837	NA	baetgesp	genus	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Baetis sp.	Ephemeroptera	Baetidae	Baetis	Baetis rhodani	4415	107	baetrhod	species	0.5	0.02	0	1	0
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Baetis sp.	Ephemeroptera	Baetidae	Baetis	Baetis sp.	4419	7	baetissp	genus	0.5	0.02	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Baetis sp.	Ephemeroptera	Baetidae	Baetis	Baetis vernus	4427	278	baetvern	species	0.5	0.02	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Baetopus sp.	Ephemeroptera	Baetidae	Baetopus	Baetopus sp.	14466	20996	batosp.	genus	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Baetopus sp.	Ephemeroptera	Baetidae	Baetopus	Baetopus tenellus	6675	20022	rapttene	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Baetopus sp.	Ephemeroptera	Baetidae	Baetopus	Baetopus wartensis	4429	20997	batowart	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Centroptilum sp.	Ephemeroptera	Baetidae	Centroptilum	Centroptilum litura	16598	NA	centlitu	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Centroptilum sp.	Ephemeroptera	Baetidae	Centroptilum	Centroptilum luteolum	8850	252	centlute	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Centroptilum sp.	Ephemeroptera	Baetidae	Centroptilum	Centroptilum obtusum	16600	NA	centobtu	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Centroptilum sp.	Ephemeroptera	Baetidae	Centroptilum	Centroptilum pirinense	16586	NA	centpiri	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Centroptilum sp.	Ephemeroptera	Baetidae	Centroptilum	Centroptilum sp.	4576	780	centsp.	genus	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Centroptilum sp.	Ephemeroptera	Baetidae	Centroptilum	Centroptilum sp. A	16596	NA	centrspa	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Centroptilum sp.	Ephemeroptera	Baetidae	Centroptilum	Centroptilum sp. B	16597	NA	centrspb	species	0.5	-0.25	1	1	1
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Cloeon sp.	Ephemeroptera	Baetidae	Cloeon	Cloeon cognatum	4704	NA	cloecogn	species	0.4	-0.32	1	1	0
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Cloeon sp.	Ephemeroptera	Baetidae	Cloeon	Cloeon degrangei	20114	NA	cloedegr	species	0.4	-0.32	1	1	0
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Cloeon sp.	Ephemeroptera	Baetidae	Cloeon	Cloeon dipterum	4705	394	cloedipt	species	0.3	-0.32	1	1	0
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Cloeon sp.	Ephemeroptera	Baetidae	Cloeon	Cloeon dipterum-Gr.	14631	NA	cloedigr	species	0.4	-0.32	1	1	0
Ephemeroptera Gen. sp.	Baetidae Gen. sp.	Cloeon sp.	Ephemeroptera	Baetidae	Cloeon	Cloeon inscriptum	4706	NA	cloeinsc	species	0.4	-0.32	1	1	0
