group2	family2	genus2	group	family	genus	subspecies	stage	taxa	ID	DIN	shortcode	levelAQEM	LINK	LINK_ID	levelLINK
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unionidae Gen. sp.	Bivalvia	Unionidae	Unionidae	NA	NA	Unionidae Gen. sp.	8452	1565	uniogen.	family	Unionidae Gen. sp.	8452	family
Bivalvia Gen. sp.	Veneridae Gen. sp.	Chamelea sp.	Bivalvia	Veneridae	Chamelea	NA	NA	Chamelea gallina	16943	NA	chamgall	species	Chamelea sp.	16948	genus
Bivalvia Gen. sp.	Veneridae Gen. sp.	Chamelea sp.	Bivalvia	Veneridae	Chamelea	NA	NA	Chamelea sp.	16948	NA	chamelsp	genus	Chamelea sp.	16948	genus
Bivalvia Gen. sp.	Veneridae Gen. sp.	Veneridae Gen. sp.	Bivalvia	Veneridae	Verneridae	NA	NA	Veneridae Gen. sp.	16951	NA	verngesp	family	Veneridae Gen. sp.	16951	family
Branchiobdellida Gen. sp.	Branchiobdellida Gen. sp.	Branchiobdellida Gen. sp.	Branchiobdellida	Branchiobdellida	Branchiobdellida	NA	NA	Branchiobdellida Gen. sp.	20000002	NA	NA	group	Branchiobdellida Gen. sp.	20000002	group
Branchiobdellida Gen. sp.	Branchiobdellidae Gen. sp.	Branchiobdella sp.	Branchiobdellida	Branchiobdellidae	Branchiobdella	NA	NA	Branchiobdella astaci	14814	NA	branasta	species	Branchiobdellida Gen. sp.	20000002	group
Branchiobdellida Gen. sp.	Branchiobdellidae Gen. sp.	Branchiobdella sp.	Branchiobdellida	Branchiobdellidae	Branchiobdella	NA	NA	Branchiobdella balcanica	8776	1429	branbalc	species	Branchiobdellida Gen. sp.	20000002	group
Branchiobdellida Gen. sp.	Branchiobdellidae Gen. sp.	Branchiobdella sp.	Branchiobdellida	Branchiobdellidae	Branchiobdella	NA	NA	Branchiobdella hexadonta	8777	1430	branhexa	species	Branchiobdellida Gen. sp.	20000002	group
Branchiobdellida Gen. sp.	Branchiobdellidae Gen. sp.	Branchiobdella sp.	Branchiobdellida	Branchiobdellidae	Branchiobdella	NA	NA	Branchiobdella italica	21989	NA	branital	species	Branchiobdellida Gen. sp.	20000002	group
Branchiobdellida Gen. sp.	Branchiobdellidae Gen. sp.	Branchiobdella sp.	Branchiobdellida	Branchiobdellidae	Branchiobdella	NA	NA	Branchiobdella papillosa	16786	NA	branpapi	species	Branchiobdellida Gen. sp.	20000002	group
Branchiobdellida Gen. sp.	Branchiobdellidae Gen. sp.	Branchiobdella sp.	Branchiobdellida	Branchiobdellidae	Branchiobdella	NA	NA	Branchiobdella parasita	8778	1431	branpara	species	Branchiobdellida Gen. sp.	20000002	group
Branchiobdellida Gen. sp.	Branchiobdellidae Gen. sp.	Branchiobdella sp.	Branchiobdellida	Branchiobdellidae	Branchiobdella	NA	NA	Branchiobdella pentadonta	8779	1432	branpent	species	Branchiobdellida Gen. sp.	20000002	group
Branchiobdellida Gen. sp.	Branchiobdellidae Gen. sp.	Branchiobdella sp.	Branchiobdellida	Branchiobdellidae	Branchiobdella	NA	NA	Branchiobdella sp.	4492	1146	brellasp	genus	Branchiobdellida Gen. sp.	20000002	group
